Владение русским,Проживание в чужой стране,Проживание в новой стране менее 11 лет,age,gen,duration,Orgina_con,New_con,MFA1,MFA2,MFA3,MFA4,L1,L2,L3,L4,MFR1,MFR2,MFR3,MFR4,AD1,AD2,AD3,AD4,RH1,RH2,RH3,RH4,UHS TOTAL,MHC_emot1,MHC_emot2,MHS_emot3,MHC_soc4,MHC_soc5,MHC_soc6,MHC_soc7,MHC_soc8,MHC_psy9,MHC_psy10,MHC_psy11,MHC_psy12,MHC_psy13,MHC_psy14,MHC TOTAL,MSPSS1,MSPSS2,MSPSS3,MSPSS4,MSPSS5,MSPSS6,MSPSS7,MSPSS8,MSPSS9,MSPSS10,MSPSS11,MSPSS12,MSPSS Total,SOBI-P1,SOBI-P2,SOBI-P3,SOBI-P4,SOBI-P5,SOBI-P6,SOBI-P7,SOBI-P8,SOBI-P9,SOBI-P10,SOBI-P11,SOBI-P12,SOBI-P13,SOBI-P14,SOBI-P15,SOBI-P16,SOBI-P17,SOBI-P18,SOBI-P Total
Да,Да,Да,39,F,8,Россия,Чехия,3,3,3,3,2,3,1,1,3,1,4,4,3,1,2,4,4,1,3,3,2.6,3,3,3,3,3,3,3,3,3,3,3,3,3,3,42,4,5,5,4,4,5,4,5,5,5,6,4,4.67,3,3,3,2,3,2,3,3,2,3,2,2,3,3,3,2,3,3,48
Да,Да,Да,32,F,9,Россия,Чехия,1,5,3,5,1,5,3,1,3,5,3,3,5,5,3,1,1,1,3,3,3,1,2,0,1,1,2,0,0,1,2,1,0,1,1,13,4,4,4,5,4,5,5,5,6,4,4,6,4.67,2,3,3,1,3,3,2,2,3,2,2,2,2,3,3,2,3,1,42
Да,Да,Да,27,F,10,Россия,Чехия,1,1,2,1,1,2,1,2,1,1,3,1,1,2,1,3,1,1,1,1,1.4,5,5,4,5,5,4,5,5,4,5,5,4,5,5,66,6,7,7,7,7,6,6,5,5,6,5,6,6.08,3,2,3,2,1,2,3,4,3,3,3,3,3,2,3,3,3,3,49
Да,Да,Да,26,F,9,Россия,Чехия,4,3,3,4,2,1,4,5,1,4,3,2,3,2,3,3,4,3,2,3,2.95,2,2,2,3,1,1,0,1,2,2,1,1,1,0,19,4,4,3,4,4,5,4,3,3,4,4,3,3.75,2,2,2,3,3,3,3,2,2,2,2,2,3,2,3,2,2,1,41
Да,Да,Да,32,F,3,Казахстан,Чехия,3,3,3,4,3,1,3,1,2,1,3,1,3,3,1,3,1,1,3,1,2.2,3,2,4,3,2,4,1,1,3,2,2,3,4,1,35,5,6,6,5,4,5,5,4,5,5,6,5,5.08,3,3,3,2,4,3,4,2,3,2,3,4,3,3,3,3,3,3,54
Да,Да,Да,25,F,10,Беларусь,Чехия,3,2,2,3,2,1,1,2,3,1,2,3,1,1,1,3,1,1,2,2,1.85,4,3,5,3,4,4,3,5,4,4,4,3,4,4,54,6,6,7,7,6,7,6,6,7,6,6,7,6.42,4,3,3,4,4,4,4,3,4,3,3,3,3,3,3,4,4,4,63
Да,Да,Да,22,F,4,Россия,Австрия,2,3,4,3,1,1,1,1,3,1,3,3,3,2,2,2,1,1,1,4,2.1,4,3,2,3,4,4,3,2,4,4,4,3,4,4,48,5,5,6,6,6,5,6,6,5,6,6,7,5.75,3,4,4,2,3,3,3,4,3,3,3,3,3,2,4,3,3,2,55
Да,Да,Да,26,M,4,Россия,Германия,3,3,3,4,1,2,2,2,3,1,2,3,1,2,2,3,3,1,2,2,2.25,4,3,2,2,4,1,3,5,4,4,4,3,4,1,44,5,5,6,5,5,6,6,5,5,5,5,6,5.33,3,2,4,3,3,4,3,3,2,4,2,2,3,4,4,3,3,3,55
Да,Да,Да,19,F,2,Беларусь,Россия,2,2,4,5,4,2,5,5,5,5,5,5,3,4,5,3,5,5,5,5,4.2,0,0,0,1,0,1,0,1,0,0,0,0,1,0,4,2,2,1,2,1,2,2,2,2,1,2,2,1.75,2,1,1,1,1,1,1,1,1,1,1,2,2,1,1,2,1,1,22
Да,Да,Да,23,F,5,Германия,Россия,4,4,4,4,4,3,4,3,4,4,4,4,5,5,4,4,4,3,4,4,3.95,1,0,1,0,2,0,1,1,0,1,0,1,0,1,9,3,3,2,2,2,2,3,3,2,2,3,2,2.42,2,1,1,1,1,2,1,2,1,2,2,2,2,1,2,2,1,1,27
Да,Да,Да,38,F,3,Украина,Германия,5,5,4,3,5,2,3,3,4,4,4,4,3,4,3,3,4,3,3,4,3.65,0,1,2,1,0,0,1,0,1,0,1,0,1,0,8,3,2,2,4,4,3,4,3,4,2,4,4,3.25,1,1,1,3,1,1,1,2,2,2,1,2,1,3,1,2,2,2,29
Да,Да,Да,35,F,3,Украина,Германия,4,5,5,4,4,4,3,5,4,3,5,4,3,5,5,4,5,4,5,5,4.3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2,2,1,3,2,4,1,1,2,1,1,2,1.83,1,1,1,1,2,2,1,1,1,2,1,2,2,1,1,2,1,1,24
Да,Да,Да,37,F,1,Россия,Турция,3,2,2,3,4,3,3,3,2,2,3,2,3,4,2,3,3,3,4,2,2.8,2,3,2,3,2,3,1,3,3,2,2,0,1,1,28,6,5,4,4,5,4,7,6,4,4,5,5,4.92,2,2,2,2,2,2,3,2,3,3,1,3,3,2,3,3,2,2,42
Да,Да,Да,24,F,9,Украина,Германия,2,3,2,2,3,3,2,3,3,1,2,2,3,2,2,2,2,3,2,3,2.35,3,2,3,1,3,1,1,1,3,1,3,1,1,2,26,5,6,6,5,7,5,5,4,5,6,5,6,5.42,3,3,3,2,3,2,3,2,2,3,3,3,2,3,3,3,4,3,50
Да,Да,Да,38,M,7,Украина,Англия,4,5,4,5,4,3,3,4,5,4,4,4,3,4,3,4,5,5,4,4,4.05,0,0,0,0,1,1,1,1,1,0,1,1,0,1,8,2,1,3,3,2,1,2,3,2,3,2,2,2.17,1,1,1,1,2,2,1,1,1,2,1,1,2,3,1,2,1,1,25
Да,Да,Да,21,F,2,Россия,Англия,2,2,3,2,1,1,2,1,2,2,3,1,1,3,2,2,1,2,1,2,1.8,5,4,4,5,4,4,4,5,3,4,5,5,5,5,62,7,6,7,7,6,5,6,7,6,5,6,6,6.17,4,3,3,3,3,4,3,3,4,3,3,3,4,4,3,4,4,4,62
Да,Да,Да,21,M,3,Украина,Германия,3,4,4,4,3,2,2,3,4,3,4,4,2,2,3,2,1,3,2,3,2.9,2,1,1,0,1,1,1,1,0,1,1,0,0,1,11,5,4,5,5,3,6,4,5,7,3,4,4,4.58,2,2,2,2,2,2,2,3,2,3,2,1,2,2,2,3,3,3,40
Да,Да,Да,24,F,5,Украина,Германия,5,5,5,4,4,5,4,3,3,4,5,4,5,5,4,5,4,5,5,4,4.4,0,0,0,1,0,1,0,1,0,0,0,0,0,0,3,2,1,1,1,2,1,1,2,1,2,1,1,1.33,1,2,1,1,1,1,1,1,1,1,1,2,2,1,1,2,1,1,22
Да,Да,Да,27,F,2,Беларусь,Кипр,3,3,4,4,2,3,3,3,2,4,2,3,3,2,4,2,3,3,2,2,2.85,1,2,0,2,1,3,0,1,0,1,1,2,0,1,15,4,5,4,5,3,5,3,4,4,4,4,5,4.17,2,2,3,3,2,1,2,3,2,3,2,3,2,2,3,2,2,2,41
